DATEPRD,BORE_GAS_VOL
07-Apr-14,0
08-Apr-14,0
09-Apr-14,0
10-Apr-14,0
11-Apr-14,0
12-Apr-14,0
13-Apr-14,0
14-Apr-14,0
15-Apr-14,0
16-Apr-14,0
17-Apr-14,0
18-Apr-14,0
19-Apr-14,0
20-Apr-14,0
21-Apr-14,0
22-Apr-14,"90,439"
23-Apr-14,"165,720"
24-Apr-14,"221,707"
25-Apr-14,"178,064"
26-Apr-14,"192,602"
27-Apr-14,"194,496"
28-Apr-14,"192,900"
29-Apr-14,"184,900"
30-Apr-14,"177,108"
01-May-14,"174,609"
02-May-14,"154,871"
03-May-14,"147,930"
04-May-14,"139,378"
05-May-14,"136,980"
06-May-14,"144,950"
07-May-14,"135,000"
08-May-14,"127,565"
09-May-14,"24,323"
10-May-14,"52,163"
11-May-14,"117,732"
12-May-14,"111,238"
13-May-14,"107,144"
14-May-14,"102,881"
15-May-14,"106,745"
16-May-14,"104,864"
17-May-14,"110,078"
18-May-14,"117,388"
19-May-14,"109,517"
20-May-14,"109,362"
21-May-14,"104,993"
22-May-14,"107,116"
23-May-14,"108,079"
24-May-14,"108,387"
25-May-14,"105,810"
26-May-14,"106,514"
27-May-14,"105,800"
28-May-14,"102,250"
29-May-14,"102,824"
30-May-14,"103,978"
31-May-14,"105,761"
01-Jun-14,"107,036"
02-Jun-14,"68,263"
03-Jun-14,"104,866"
04-Jun-14,"104,234"
05-Jun-14,"99,517"
06-Jun-14,"99,850"
07-Jun-14,"100,306"
08-Jun-14,"99,959"
09-Jun-14,"34,916"
10-Jun-14,"95,262"
11-Jun-14,"108,793"
12-Jun-14,"116,555"
13-Jun-14,"120,308"
14-Jun-14,"115,374"
15-Jun-14,"116,058"
16-Jun-14,"111,153"
17-Jun-14,"107,051"
18-Jun-14,"106,457"
19-Jun-14,"105,828"
20-Jun-14,"104,861"
21-Jun-14,"104,156"
22-Jun-14,"102,418"
23-Jun-14,"102,285"
24-Jun-14,"96,652"
25-Jun-14,"85,082"
26-Jun-14,"55,420"
27-Jun-14,"63,214"
28-Jun-14,"88,193"
29-Jun-14,"85,616"
30-Jun-14,"76,979"
01-Jul-14,"84,308"
02-Jul-14,"84,365"
03-Jul-14,"84,351"
04-Jul-14,"84,183"
05-Jul-14,"83,870"
06-Jul-14,"83,854"
07-Jul-14,"77,847"
08-Jul-14,"77,885"
09-Jul-14,"77,859"
10-Jul-14,"73,241"
11-Jul-14,"72,895"
12-Jul-14,"72,637"
13-Jul-14,"71,515"
14-Jul-14,"73,096"
15-Jul-14,"70,443"
16-Jul-14,"69,327"
17-Jul-14,"68,817"
18-Jul-14,"68,361"
19-Jul-14,"68,466"
20-Jul-14,"44,919"
21-Jul-14,"72,966"
22-Jul-14,"69,274"
23-Jul-14,"69,891"
24-Jul-14,"69,743"
25-Jul-14,"69,237"
26-Jul-14,"68,831"
27-Jul-14,"68,638"
28-Jul-14,"68,331"
29-Jul-14,"71,885"
30-Jul-14,"72,278"
31-Jul-14,"56,055"
01-Aug-14,"56,399"
02-Aug-14,"56,290"
03-Aug-14,"56,569"
04-Aug-14,"61,912"
05-Aug-14,"75,078"
06-Aug-14,"69,713"
07-Aug-14,"77,391"
08-Aug-14,"76,995"
09-Aug-14,"73,657"
10-Aug-14,"76,002"
11-Aug-14,"52,975"
12-Aug-14,"44,830"
13-Aug-14,"44,300"
14-Aug-14,"47,071"
15-Aug-14,"46,462"
16-Aug-14,"44,219"
17-Aug-14,"44,243"
18-Aug-14,"44,083"
19-Aug-14,0
20-Aug-14,0
21-Aug-14,0
22-Aug-14,0
23-Aug-14,0
24-Aug-14,0
25-Aug-14,0
26-Aug-14,0
27-Aug-14,0
28-Aug-14,0
29-Aug-14,0
30-Aug-14,0
31-Aug-14,0
01-Sep-14,0
02-Sep-14,0
03-Sep-14,"16,926"
04-Sep-14,"46,376"
05-Sep-14,"69,487"
06-Sep-14,"68,818"
07-Sep-14,"67,226"
08-Sep-14,"66,847"
09-Sep-14,"66,355"
10-Sep-14,"63,293"
11-Sep-14,"60,995"
12-Sep-14,"57,082"
13-Sep-14,"57,123"
14-Sep-14,"56,615"
15-Sep-14,"50,991"
16-Sep-14,"50,947"
17-Sep-14,"51,928"
18-Sep-14,"49,758"
19-Sep-14,"49,602"
20-Sep-14,"53,618"
21-Sep-14,"56,787"
22-Sep-14,"53,587"
23-Sep-14,"53,316"
24-Sep-14,"51,385"
25-Sep-14,"49,352"
26-Sep-14,"49,388"
27-Sep-14,"49,246"
28-Sep-14,"47,051"
29-Sep-14,0
30-Sep-14,0
01-Oct-14,"8,962"
02-Oct-14,"31,731"
03-Oct-14,"43,001"
04-Oct-14,"44,101"
05-Oct-14,"49,501"
06-Oct-14,"48,233"
07-Oct-14,"48,181"
08-Oct-14,"49,975"
09-Oct-14,"50,479"
10-Oct-14,"50,894"
11-Oct-14,"50,158"
12-Oct-14,"49,865"
13-Oct-14,"49,604"
14-Oct-14,"49,572"
15-Oct-14,"49,750"
16-Oct-14,"49,653"
17-Oct-14,"49,635"
18-Oct-14,"49,749"
19-Oct-14,"50,071"
20-Oct-14,"50,700"
21-Oct-14,"48,562"
22-Oct-14,"48,495"
23-Oct-14,"48,623"
24-Oct-14,"48,609"
25-Oct-14,"49,209"
26-Oct-14,"51,385"
27-Oct-14,"49,191"
28-Oct-14,"48,599"
29-Oct-14,"46,729"
30-Oct-14,"48,777"
31-Oct-14,"50,070"
01-Nov-14,"49,048"
02-Nov-14,"49,772"
03-Nov-14,"45,686"
04-Nov-14,"45,094"
05-Nov-14,"44,832"
