DEPTH,LFP_AI,LFP_AI_B
3170.0725,6842.333,6842.333
3170.2249,7511.2642,7511.2642
3170.3772,7527.436,7527.436
3170.5298,7696.3848,7696.3848
3170.6821,7452.2202,7452.2202
3170.8345,7460.7388,7460.7388
3170.9868,7181.188,7181.188
3171.1394,7167.8789,7167.8789
3171.2917,7190.085,7190.085
3171.4441,7118.667,7118.667
3171.5964,7331.8208,7331.8208
3171.749,7301.249,7301.249
3171.9014,7188.0122,7188.0122
3172.0537,7170.2139,7170.2139
3172.2061,7288.1631,7288.1631
3172.3584,7455.2422,7455.2422
3172.511,7591.124,7591.124
3172.6633,7690.9219,7690.9219
3172.8157,7748.7378,7748.7378
3172.968,7829.6919,7829.6919
3173.1206,7874.2788,7874.2788
3173.2729,7778.521,7778.521
3173.4253,7665.395,7665.395
3173.5776,7531.2339,7531.2339
3173.7302,7609.5991,7609.5991
3173.8826,7682.854,7682.854
3174.0349,7773.2622,7773.2622
3174.1873,8114.4971,8114.4971
3174.3396,8129.623,8129.623
3174.4922,7987.7959,7987.7959
3174.6445,7749.5542,7749.5542
3174.7969,7563.9458,7563.9458
3174.9492,7291.9399,7291.9399
3175.1018,7349.4849,7349.4849
3175.2542,7384.856,7384.856
3175.4065,7401.2432,7401.2432
3175.5588,7431.5029,7431.5029
3175.7114,7298.1289,7298.1289
3175.8638,7398.2939,7398.2939
3176.0161,7369.0518,7369.0518
3176.1685,7251.4028,7251.4028
3176.3208,7070.5581,7070.5581
3176.4734,6849.7842,6849.7842
3176.6257,6666.4678,6666.4678
3176.7781,6455.3911,6455.3911
3176.9304,6298.9102,6298.9102
3177.083,6257.6128,6257.6128
3177.2354,6265.666,6310.4238
3177.3877,6211.189,6211.189
3177.54,6341.647,6341.647
3177.6926,6474.6909,6474.6909
3177.845,6749.3931,6749.3931
3177.9973,6756.4722,6756.4722
3178.1497,6933.0508,6933.0508
3178.302,6977.4868,6977.4868
3178.4546,7150.9668,7150.9668
3178.6069,7217.5361,7217.5361
3178.7593,7222.729,7222.729
3178.9116,7232.9761,7232.9761
3179.0642,7333.605,7333.605
3179.2166,7231.208,7231.208
3179.3689,7122.769,7122.769
3179.5212,6902.5132,6902.5132
3179.6738,6754.5122,6754.5122
3179.8262,6616.271,6616.271
3179.9785,6442.667,6442.667
3180.1309,6407.437,6407.437
3180.2832,6560.8418,6560.8418
3180.4358,6603.4258,6603.4258
3180.5881,6637.8652,6637.8652
3180.7405,6584.9731,6584.9731
